Name,Scale,eScale,AAE,eAAE,Red_chisq,A,eA,B,eB,alpha_BrC,ealpha_BrC,Red_chisq,A',eA',B',eB',Red_chisq
P01,26186.838899087143,449.8301927482399,1.4438531894591606,0.06841022521151527,0.7859365556473743,809.8405089377336,2.217648054687302,1905569724.8192997,306681288.62781256,3.487260724698219,0.027678487009571207,0.00033456975577169095,424.70942534236366,67.36364484750847,145200.08643440317,15780.789748442983,0.5188756071687867
P02,29267.269083463885,564.6202532820158,1.5474483450701753,0.07710981624873069,0.9909943553061766,441.68943902202784,1.7826805977505542,1022380539.4943218,183903862.00405872,3.440968744464108,0.030939627286559756,0.0006289793257049398,177.1338223434168,45.93824869996976,101122.3657578682,10923.461345856405,0.7263129884696674
P03,13845.475168741921,250.24096375561726,1.5006692664693655,0.07205478686327245,0.8699668567788814,288.1552436159446,6.05572002025848,580430882.052196,599274014.0902479,3.4354311588450934,0.17764944043410683,0.017618319395067465,132.3703248645823,26.783119950308915,59506.32610516864,6326.555024768847,0.6081610386323004
P04,29244.071841006884,532.9635281258696,1.4957394488365636,0.07270426085666104,0.8845276835568736,631.6350418575352,3.597759731412908,1464377571.8096375,424638551.91033137,3.4622433528214884,0.04987452684559631,0.0013460424365275966,293.24455729854503,58.74991745721646,128508.34066146704,13866.569809427185,0.6145998128671407
P05,61720.01274166268,973.9322175473241,1.4068510357181876,0.06269084615734452,0.6633486315046228,2448.3649695761237,8.011867308709649,3819829626.4039626,767774890.2766261,3.43258099021549,0.034611322108538185,0.0004540088719532771,1392.8583269006126,179.9364516258148,401539.22600196954,41929.0801428372,0.4161238848036582
P06,49569.101551142856,744.292753582534,1.3848284476446193,0.0595762783994375,0.6006793959221305,2281.9649826626855,7.723259528497428,2868678924.776774,616861768.6476637,3.405533284883542,0.03705349560534385,0.00047435887047696354,1356.5538466359012,155.8781247498769,353628.7302589892,36207.610729946704,0.36564043298882437
P07,23298.924508897253,304.45092845842794,1.3365854960066375,0.05167586294192147,0.4550248006348188,1481.3370664419922,8.322314195939347,888139573.318835,330093380.943718,3.3011156560373016,0.06420608620087603,0.0011584038282826776,964.4485519021551,83.26291537447268,201625.27161414892,19205.806723871014,0.2554694108049589
P08,16010.29418971604,190.56569430164276,1.2983580922292999,0.0469810939668525,0.37758393658290773,1321.1531430005537,6.252786936156309,597227358.1204537,205044014.12082416,3.2732673627665214,0.05936373533185817,0.0008096746571030103,913.389688053928,64.84779749466226,159817.466296994,14875.1948743889,0.20135272817760982
P09,30900.03346060348,504.620327579489,1.4306852900178906,0.06493799006675868,0.7104234138035967,1039.9466607059749,5.620602884242822,1654355383.3878837,513422198.55961055,3.4248802442038007,0.0534396722405232,0.0012046553117775693,564.0932134718246,81.02640279784279,181509.39625289812,18946.19641947773,0.4566202738157352
P10,68260.82847435925,1539.7074589176016,1.6195965533735188,0.09065260376594383,1.354001367977191,640.5403284057027,4.187270709370645,4876544241.331876,1442794043.87033,3.6217974622407723,0.05070563684343987,0.0020381784315633786,192.0453471045358,83.37593466442239,166488.52758774778,20027.663948371657,1.0985969029698535
P11,58525.19748881019,1399.755572769747,1.6676033637104355,0.09635990025954135,1.5219303759509872,396.0121722976876,0.5684923355316681,3798578559.165792,230079635.20925757,3.6452453941215173,0.010373623864328767,9.798891244052274e-05,92.39442367843922,57.32911487387595,112515.55250646472,13863.706207160467,1.3016481794774786
P12,22441.294122763265,361.15902163030665,1.4379389201621067,0.06396247152363743,0.6899540599970363,714.9045958859631,7.672145665978927,863934893.2720926,498936503.6216297,3.3734913945868685,0.09953904248558232,0.004377022400127665,383.6793721377489,55.25679186811833,127749.55312013642,12934.547952066989,0.44248849384258504
P13,124715.72159042222,2821.9286623701055,1.6372944759359442,0.09095657149273845,1.362479267457756,1031.7639367552829,1.7930217787208789,6647332509.379723,489928284.1513351,3.586326943106089,0.012636998044735828,0.0001350596251286548,285.5759512830135,137.48411441360057,278863.45131948334,33108.58834282171,1.122580537316803
P14,46735.356651087044,1007.7913767700232,1.582638242406681,0.08652492406392366,1.2376899263913623,564.050004222468,0.5317694860864539,3530902516.6713543,159193209.74482363,3.60133103574766,0.00773151774976527,4.221914827014827e-05,197.14723699138128,67.66789987349168,136411.22647653098,16169.091039026007,0.9633688519323588
P16,133018.81343346255,2885.463884750792,1.6040142104889852,0.08705903304157087,1.252440824374246,1380.132390348655,2.314011052311081,7349546759.464332,547280298.4849515,3.5651302764594326,0.012774992510227307,0.00012501568174517718,445.0852713164217,170.50807009147337,350171.8972138428,40868.631758023635,0.9932663348192197
P17,10268.99265119465,149.51273156004666,1.3775451085560861,0.05772040936255077,0.5648086022683351,495.48213416319305,3.745833300301819,497418628.45461965,235977922.271561,3.3698785948304435,0.08180883596210824,0.0022571990049791717,299.3419499438243,32.52834103571926,75492.05141979689,7547.857998030637,0.3383809631761015
P18,23996.283650827598,397.0404601712328,1.456653260176196,0.06581759729526673,0.7292475320023536,671.7375395931981,4.3836003623195365,832383184.6988989,278172300.726413,3.3694970527727843,0.05759789521380172,0.001585145260730131,346.12209397904184,54.407507802746316,125793.51776500841,12770.111768061324,0.47644723490121826
P19,30050.791155451192,503.89272889840515,1.4341403764151839,0.06673068809599725,0.7489363941929778,991.6532546029393,1.369339565136103,2042397366.1344852,166936046.5760807,3.468391754457914,0.014062611112349016,8.345150998712651e-05,531.958041365595,79.69507767068488,173865.00940639418,18643.699185828573,0.48744681818011193
P20,27908.140254530543,452.76266267642524,1.417809100360964,0.06450382787132848,0.7011180909475357,1028.591428296138,2.9748244062692857,1838731648.3434994,322945538.97986984,3.4511980570578933,0.030231181927420664,0.0003611266049053754,571.6478525402271,78.63682595701773,173271.0552632456,18352.87564805344,0.4468264918818772
P21,104707.73642045635,2186.9987552431535,1.5946336019979954,0.0837053483496428,1.161317766743519,1150.5197709934885,6.039093148127629,4315958425.776212,973114995.5976201,3.5072686011467686,0.03872074587570133,0.001135206862289665,387.59204547485757,135.89947712678577,288609.61983671144,32532.9760991365,0.9056549710670492
P22,21606.838286525064,365.2502401866375,1.4611104848274263,0.06727814114127431,0.7611516301415128,588.6576479449157,6.196923833189188,900959036.7626836,496380763.80868834,3.4044467752978513,0.09488560159915453,0.004339298001658635,299.1835875692814,48.99730788887746,111043.28242531978,11507.668354656262,0.5041929908124181
P23,23204.507470545264,395.8050181220497,1.4519359831363527,0.06791349361403826,0.7749639130068372,676.4003143927994,2.213652563537922,1302776853.747049,237473788.4173796,3.448721320775172,0.03136925677680558,0.00044991049249590157,349.60033284768923,56.277339078646456,124180.34648773921,13199.411881443508,0.5120373444685389
P24,355115.02363688336,10085.25633432897,1.8984967150651022,0.11533286961502597,2.1439055165588345,489.3392033972231,2.6023084841135415,8130842534.90966,1260765909.144138,3.6673690637335516,0.02650350670927879,0.0011588857272021094,1.0000000000000002,113.89916570718381,190806.88766903296,28441.8447635646,2.651229733012718
P25,236816.04682500285,6387.510505699532,1.8083376788971717,0.10925598789482024,1.934406528688264,609.5615328317215,0.44551141083953455,8809455371.957844,217597092.40431204,3.670633853612823,0.004224521734736257,2.369282364331351e-05,13.336175344227733,115.16084419673902,221541.87298473585,28401.019491190098,1.92936226191027
P26,618779.4501142439,16787.985018753574,1.8434500762033847,0.10992546502674375,1.9571192589247637,1242.6950422589712,4.062386275806142,16147584555.299885,1639270552.8081613,3.6408658137402696,0.017365368046302378,0.0004408168095332006,1.0000000000000002,248.01305924379784,470623.8447041288,61471.421768200606,2.0555496253276497
P27,539166.5477467424,14171.561332522544,1.796490385880387,0.10633790856314425,1.837214079398758,1497.311966369254,2.094859288535367,17240120211.00157,804750575.6011599,3.6344438597614497,0.007988286414666397,8.313341884585824e-05,60.35955092702652,273.4962584300089,536780.1899912094,67346.88414954056,1.8084883797539755
P28,196758.05477511272,4848.534768693262,1.7360119106507077,0.09940531273156321,1.615366703725069,824.290233088455,2.882988070599378,6605529527.378837,821268580.4318013,3.59048096982996,0.021300771568700003,0.0005107306946145323,110.66268006284274,132.85256427882962,267778.6542034511,32442.515382237947,1.4844353842609597
P29,89301.46222137849,1951.6678951883273,1.6053955202973416,0.08773742803196383,1.271260300756589,919.1887531471211,1.5727121448969013,5272521128.235107,403902892.2089313,3.5776201957083424,0.013139506879907527,0.00013230658516547806,294.38759304330404,114.50874303608464,233488.34358286185,27451.109762439188,1.0110699718693676
